time_sec;ribcage_x;ribcage_y;ribcage_z;ribcage_roll;ribcage_pitch;ribcage_yaw;head_x;head_y;head_z;head_roll;head_pitch;head_yaw;hand_right_x;hand_right_y;hand_right_z;hand_right_roll;hand_right_pitch;hand_right_yaw;hand_right_relative_x;hand_right_relative_y;hand_right_relative_z;hand_right_relative_roll;hand_right_relative_pitch;hand_right_relative_yaw;hand_right_relative_normalized_x;hand_right_relative_normalized_y;hand_right_relative_normalized_z;hand_right_relative_normalized_roll;hand_right_relative_normalized_pitch;hand_right_relative_normalized_yaw;elbow_right_x;elbow_right_y;elbow_right_z;elbow_right_relative_x;elbow_right_relative_y;elbow_right_relative_z;elbow_right_relative_normalized_x;elbow_right_relative_normalized_y;elbow_right_relative_normalized_z;
16.653757;-61.618248;103.583862;138.879684;-0.048319;9.460364;66.204422;-61.790161;103.141243;164.388535;-67.874146;88.600571;-92.53978;-84.465988;80.426811;148.957047;99.09272;-2.282109;-24.147833;21.28384;53.061054;-4.070033;108.559296;-2.14485;-90.722717;0.371347;0.925775;-0.071011;108.559296;-2.14485;-90.72271;-113.439224;101.418549;146.615707;28.314037;88.037933;-7.644606;0.305127;0.948742;-0.082382;
16.687523;-61.600258;103.606056;138.879486;0.000393;9.417976;66.283409;-61.783619;103.189125;164.388672;-61.640705;88.591652;-86.362404;-131.729095;129.501205;148.362274;99.080109;-2.422381;-24.017397;2.249168;57.261086;-1.073534;108.505898;-2.340876;-90.693352;0.039242;0.999054;-0.01873;108.505898;-2.340876;-90.693344;-113.422127;101.471313;146.562027;-16.09811;29.226206;0.14472;-0.280869;0.50992;0.002525;
16.721273;-61.586006;103.62867;138.877945;0.037708;9.29228;66.304527;-61.761772;103.269516;164.388077;-57.733387;88.591515;-82.596603;-131.713669;129.538361;148.323364;99.197227;-2.401501;-24.183392;2.269157;57.260307;-1.073247;108.497238;-2.328896;-90.869499;0.039591;0.99904;-0.018725;108.497238;-2.328896;-90.869492;-113.412292;101.508034;146.59845;-16.081392;29.236313;0.162939;-0.280578;0.510096;0.002843;
16.754045;-61.574841;103.657394;138.89296;0.034114;9.286584;66.249672;-61.748486;103.300072;164.403122;-58.381901;88.607727;-83.372345;-131.684631;129.596985;148.238815;99.295097;-2.417272;-24.235382;2.231333;57.260155;-1.156716;108.58947;-2.341416;-90.868996;0.038931;0.999038;-0.020182;108.58947;-2.341409;-90.86898;-113.385124;101.526726;146.603333;-16.115236;29.204296;0.169332;-0.281168;0.509538;0.002954;
16.788048;-61.564625;103.684296;138.887329;-0.009935;9.210926;66.1436;-61.707565;103.350243;164.39801;-58.206219;88.640434;-83.25103;-131.664734;129.641602;148.192429;99.485085;-2.446874;-24.371805;2.1091;57.263092;-1.238079;108.703178;-2.322879;-90.90062;0.036798;0.999089;-0.021601;108.703178;-2.322879;-90.900627;-113.341087;101.569099;146.614716;-16.171064;29.151411;0.132794;-0.282142;0.508615;0.002317;
16.821476;-61.558285;103.701508;138.889465;-0.029452;9.193311;66.078522;-61.690563;103.371307;164.400253;-55.486259;88.632256;-80.580612;-131.631714;129.703491;148.130997;99.328461;-2.496495;-24.381205;2.060423;57.262943;-1.324088;108.529106;-2.361517;-90.852859;0.035949;0.999086;-0.023102;108.529114;-2.361511;-90.852867;-113.320114;101.610649;146.597824;-16.204697;29.133785;0.093364;-0.282729;0.508307;0.001629;
16.854971;-61.538204;103.711914;138.880142;-0.015094;9.184999;66.062187;-61.674873;103.38768;164.390991;-51.703568;88.624123;-76.928047;-131.598007;129.7612;148.071533;99.159027;-2.472638;-24.345907;2.079096;57.261471;-1.358163;108.35157;-2.360677;-90.79776;0.036275;0.999061;-0.023696;108.351578;-2.36067;-90.79776;-113.290512;101.634125;146.516388;-16.214348;29.116608;0.031883;-0.282897;0.508008;0.000556;
16.888556;-61.507057;103.722099;138.886215;-0.005519;9.158081;66.020348;-61.642918;103.410667;164.397217;-49.54805;88.644325;-74.950996;-131.54187;129.837967;147.991013;99.22863;-2.347283;-24.450478;2.079754;57.259796;-1.42549;108.393402;-2.236894;-90.838577;0.036286;0.999032;-0.024871;108.393417;-2.236894;-90.838577;-113.270554;101.663902;146.528152;-16.23625;29.115337;0.048269;-0.28328;0.507986;0.000842;
16.922525;-61.46801;103.730232;138.887497;0.011888;9.152057;65.993629;-61.609928;103.424446;164.398529;-47.767284;88.617035;-73.397743;-131.476135;129.935257;147.915665;99.144669;-2.032213;-24.572237;2.1192;57.256882;-1.483571;108.30162;-1.928217;-90.882004;0.036974;0.998981;-0.025884;108.301628;-1.928217;-90.882004;-113.228058;101.744278;146.572784;-16.189507;29.117758;0.100038;-0.282464;0.508028;0.001745;
16.955318;-61.432686;103.724335;138.881973;0.054535;9.178257;65.999435;-61.596504;103.415466;164.392853;-46.379288;88.561272;-72.351395;-131.393311;130.029724;147.801819;98.836113;-1.946126;-24.746284;2.196613;57.251984;-1.558061;108.019157;-1.856787;-91.046707;0.038325;0.998895;-0.027184;108.019165;-1.856787;-91.046707;-113.187798;101.818726;146.420044;-16.155525;29.144314;-0.019254;-0.281871;0.508491;-0.000336;
16.989466;-61.392754;103.724846;138.881378;0.125893;9.270847;66.008797;-61.601974;103.391144;164.391586;-45.784939;88.525269;-72.163719;-131.293854;130.134537;147.585785;97.138428;-1.740284;-24.806465;2.296045;57.213795;-1.685184;106.414299;-1.712082;-91.085075;0.04006;0.998229;-0.029402;106.414314;-1.712076;-91.085068;-113.11525;101.971146;146.123718;-16.038883;29.151291;-0.235379;-0.279836;0.508613;-0.004107;
17.022711;-61.362839;103.725754;138.887238;0.204895;9.441049;66.002777;-61.634701;103.336998;164.396088;-47.357609;88.454002;-74.105621;-131.060211;130.321136;147.147919;91.576347;-0.721172;-24.479013;2.48036;57.090973;-2.018183;101.019768;-0.837258;-90.59359;0.043276;0.996086;-0.035212;101.019768;-0.837258;-90.593575;-112.885063;102.351791;145.378738;-15.72398;29.107635;-0.884609;-0.274342;0.507851;-0.015434;
17.056377;-61.388992;103.742752;138.889496;0.068151;9.569559;66.013062;-61.629017;103.277176;164.397385;-53.254627;88.388313;-80.093224;-130.510284;130.685608;146.094925;78.915367;0.233449;-23.815643;2.835629;56.707493;-3.241959;88.484695;0.133578;-89.792282;0.049474;0.989396;-0.056564;88.484695;0.133585;-89.792274;-112.305717;103.113686;143.555405;-15.129074;28.86582;-2.821748;-0.263962;0.503632;-0.049232;
17.089617;-61.343712;103.744102;138.900986;-0.18679;9.96153;65.93158;-61.553005;103.073769;164.404572;-51.130871;88.306602;-77.970955;-129.695953;131.073044;144.683685;62.738972;0.999605;-24.693274;3.186718;56.150833;-4.915832;72.700272;1.27941;-90.442543;0.0556;0.979683;-0.085768;72.700256;1.279404;-90.442543;-111.19886;104.330284;140.637085;-14.132994;28.352137;-5.891807;-0.246583;0.49467;-0.102796;
17.122971;-61.308872;103.750313;138.90834;-0.284755;9.896035;65.554077;-61.471222;103.090065;164.412552;-50.451355;88.362419;-77.405617;-128.640106;131.587112;142.945129;46.145409;1.896928;-25.92499;3.313965;55.4552;-6.698067;56.039322;2.40758;-91.131218;0.05782;0.967546;-0.116864;56.039307;2.40758;-91.131218;-109.83593;105.786308;137.00415;-13.179369;27.644178;-9.713222;-0.229945;0.482318;-0.16947;
17.156622;-61.270584;103.757126;138.909866;-0.317121;10.132586;65.77243;-61.460617;102.994408;164.411011;-43.604572;88.211945;-70.631523;-127.268143;132.165009;140.693939;28.983305;2.693424;-26.173979;4.095449;54.403542;-9.027399;39.115967;3.310804;-91.442459;0.071455;0.949198;-0.157504;39.115948;3.310797;-91.442451;-108.489677;106.976425;133.037735;-12.277481;26.916153;-13.726771;-0.21421;0.469616;-0.239496;
17.189928;-61.212109;103.711395;138.894867;-0.192264;10.268875;65.940231;-61.474899;102.91507;164.394348;-36.593559;87.979187;-63.812767;-125.711151;132.662338;138.199005;12.893748;4.674615;-26.86659;4.898014;53.224487;-11.343162;23.184847;5.292024;-91.927734;0.085457;0.928626;-0.197908;23.184826;5.292024;-91.927734;-106.785919;108.267494;129.19548;-11.033616;25.977076;-17.515522;-0.192507;0.453231;-0.3056;
17.223591;-61.183788;103.666969;138.886459;-0.010993;10.072118;66.195923;-61.480717;102.981873;164.388779;-32.543694;88.04174;-59.876289;-124.02803;133.269836;135.522034;-0.573146;7.521506;-27.722992;5.864031;51.915817;-13.819084;9.576773;8.101116;-92.536827;0.102312;0.905793;-0.241106;9.576785;8.101116;-92.536819;-104.491508;109.666733;125.871147;-9.322552;24.513426;-20.918257;-0.162654;0.427694;-0.364968;
17.257175;-61.147396;103.580261;138.873337;-0.013288;10.097294;66.36454;-61.445877;102.883614;164.375336;-32.754379;88.01268;-60.271606;-122.280228;134.015198;132.821381;-12.403112;10.717543;-28.540852;6.887671;50.623158;-16.526796;-2.138878;11.422624;-92.930603;0.120172;0.88324;-0.288349;-2.138878;11.422624;-92.930603;-101.994926;111.006073;123.351852;-7.518295;22.813126;-23.57346;-0.131174;0.398029;-0.411294;
17.29023;-61.113537;103.520065;138.856659;-0.226566;10.31394;66.258064;-61.366131;102.697891;164.355423;-33.320248;88.049957;-60.880203;-120.549484;134.901276;130.353531;-21.835625;14.518775;-29.227655;7.722477;49.375557;-19.358593;-11.201164;15.487262;-92.745705;0.134737;0.861473;-0.337756;-11.201182;15.487255;-92.745697;-99.758904;112.035927;121.484787;-6.221995;21.113125;-25.723642;-0.108557;0.368368;-0.448809;
