time_sec;ribcage_x;ribcage_y;ribcage_z;ribcage_roll;ribcage_pitch;ribcage_yaw;head_x;head_y;head_z;head_roll;head_pitch;head_yaw;hand_right_x;hand_right_y;hand_right_z;hand_right_roll;hand_right_pitch;hand_right_yaw;hand_right_relative_x;hand_right_relative_y;hand_right_relative_z;hand_right_relative_roll;hand_right_relative_pitch;hand_right_relative_yaw;hand_right_relative_normalized_x;hand_right_relative_normalized_y;hand_right_relative_normalized_z;hand_right_relative_normalized_roll;hand_right_relative_normalized_pitch;hand_right_relative_normalized_yaw;elbow_right_x;elbow_right_y;elbow_right_z;elbow_right_relative_x;elbow_right_relative_y;elbow_right_relative_z;elbow_right_relative_normalized_x;elbow_right_relative_normalized_y;elbow_right_relative_normalized_z;
15.955318;-61.432686;103.724335;138.881973;0.054535;9.178257;65.999435;-61.596504;103.415466;164.392853;-46.379288;88.561272;-72.351395;-131.393311;130.029724;147.801819;98.836113;-1.946126;-24.746284;2.196613;57.251984;-1.558061;108.019157;-1.856787;-91.046707;0.038325;0.998895;-0.027184;108.019165;-1.856787;-91.046707;-113.187798;101.818726;146.420044;-16.155525;29.144314;-0.019254;-0.281871;0.508491;-0.000336;
15.989466;-61.392754;103.724846;138.881378;0.125893;9.270847;66.008797;-61.601974;103.391144;164.391586;-45.784939;88.525269;-72.163719;-131.293854;130.134537;147.585785;97.138428;-1.740284;-24.806465;2.296045;57.213795;-1.685184;106.414299;-1.712082;-91.085075;0.04006;0.998229;-0.029402;106.414314;-1.712076;-91.085068;-113.11525;101.971146;146.123718;-16.038883;29.151291;-0.235379;-0.279836;0.508613;-0.004107;
18.022711;-61.362839;103.725754;138.887238;0.204895;9.441049;66.002777;-61.634701;103.336998;164.396088;-47.357609;88.454002;-74.105621;-131.060211;130.321136;147.147919;91.576347;-0.721172;-24.479013;2.48036;57.090973;-2.018183;101.019768;-0.837258;-90.59359;0.043276;0.996086;-0.035212;101.019768;-0.837258;-90.593575;-112.885063;102.351791;145.378738;-15.72398;29.107635;-0.884609;-0.274342;0.507851;-0.015434;
18.056377;-61.388992;103.742752;138.889496;0.068151;9.569559;66.013062;-61.629017;103.277176;164.397385;-53.254627;88.388313;-80.093224;-130.510284;130.685608;146.094925;78.915367;0.233449;-23.815643;2.835629;56.707493;-3.241959;88.484695;0.133578;-89.792282;0.049474;0.989396;-0.056564;88.484695;0.133585;-89.792274;-112.305717;103.113686;143.555405;-15.129074;28.86582;-2.821748;-0.263962;0.503632;-0.049232;
18.659271;-61.073299;103.39679;138.616913;-1.726261;8.715041;62.911121;-60.460476;102.925201;164.118454;-32.094257;87.360687;-61.028893;-99.680786;147.495209;125.835922;43.526348;8.408836;-67.286491;19.693529;34.9627;-26.633635;49.252697;15.304193;-129.14949;0.3436;0.610006;-0.464686;49.252697;15.304186;-129.149475;-105.962883;117.266212;127.536156;-9.478685;26.980446;-20.198345;-0.165378;0.470737;-0.352408;
18.692741;-61.102341;103.408577;138.58139;-1.594486;8.448316;62.771873;-60.488041;103.067436;164.084976;-33.857052;87.254829;-62.894897;-97.500648;147.80481;126.105003;60.889973;6.46545;-76.652802;20.548353;33.184551;-26.20186;65.285034;13.89606;-138.763596;0.358514;0.578983;-0.457153;65.285057;13.896053;-138.76358;-107.797585;119.409317;130.774582;-8.400745;29.601063;-17.078033;-0.146571;0.51646;-0.297967;
21.851761;-58.526295;102.378433;138.751633;-2.196625;9.012393;51.971401;-57.931828;101.568184;164.245087;-94.31089;88.018692;-120.792679;-51.286674;148.540024;125.653259;17.192347;25.853111;-141.748459;32.982841;3.007894;-28.681717;12.046943;33.988865;163.532684;0.575463;0.05248;-0.50042;12.046961;33.988861;163.532669;-79.366791;141.908737;127.450188;11.019995;21.231457;-24.073988;0.19227;0.370433;-0.420027;
21.885244;-58.49868;102.360886;138.699615;-2.306895;8.96827;52.61908;-57.844414;101.543777;164.191391;-99.549355;88.195595;-125.583389;-48.807037;146.693237;126.783249;17.910723;25.396349;-149.582535;33.324345;-0.480121;-27.449568;11.353662;32.671909;154.426041;0.581422;-0.008377;-0.478922;11.353681;32.671909;154.426056;-77.166023;142.677536;128.744385;13.471539;19.806166;-23.144129;0.235043;0.345565;-0.403804;
31.347815;-58.373615;100.940483;138.344681;-5.706713;13.332631;39.779308;-58.43322;97.62513;163.641541;-125.644043;86.073837;164.497742;-34.424911;122.90535;189.662338;41.904106;-9.927761;129.836884;36.479099;-13.072156;29.968998;28.132683;-15.346047;92.420128;0.636464;-0.228074;0.52288;28.132677;-15.346047;92.420128;-46.157555;130.465622;166.46875;27.063808;-1.96934;7.147187;0.472192;-0.03436;0.124699;
31.381336;-58.41732;100.960403;138.371353;-6.149936;13.028285;39.360783;-58.270561;97.583527;163.659729;-131.143845;86.329109;159.414749;-34.757553;121.75901;190.334625;39.20042;-18.972666;125.560196;35.719185;-13.188218;31.002075;25.322439;-25.471529;90.775673;0.623205;-0.230099;0.540904;25.322416;-25.471529;90.775673;-45.566029;129.388245;166.75975;26.976929;-2.883795;7.588513;0.470676;-0.050315;0.132399;
31.41469;-58.455353;100.964676;138.420349;-6.710268;12.891674;38.9851;-58.124748;97.438065;163.686539;-139.451965;86.684349;151.436646;-35.437225;120.709686;191.485168;35.40514;-27.923424;121.955589;34.969688;-12.869846;32.28838;20.78793;-35.435677;89.934784;0.610128;-0.224545;0.563347;20.78793;-35.43568;89.934799;-45.383556;128.75174;167.445038;27.001511;-3.115541;8.145189;0.471105;-0.054358;0.142112;
41.400681;-60.135147;101.913605;138.384186;0.726071;14.596435;60.205868;-61.781891;99.681229;163.746201;8.016568;74.047737;-7.794261;-85.44191;154.547028;162.587677;133.585632;-10.994234;-57.151993;32.826408;28.681322;5.362045;146.906372;-4.698521;-119.094246;0.572734;0.500413;0.093553;146.906357;-4.698521;-119.094231;-103.189644;133.35463;158.517288;5.469139;33.515537;8.341621;0.095422;0.584757;0.145539;
41.433731;-60.165005;101.863792;138.3638;0.036087;14.649471;59.635323;-61.583771;99.473595;163.725204;7.616969;73.571991;-8.591161;-84.748772;154.787323;161.594681;141.415085;-1.264876;-57.314274;32.723583;28.711391;3.884514;154.518051;5.31735;-116.478897;0.57094;0.500938;0.067774;154.518051;5.31735;-116.478859;-101.785805;133.406281;159.895554;6.113205;32.599945;9.086772;0.106659;0.568783;0.15854;
41.46751;-60.192635;101.8237;138.358795;-0.67181;14.574782;58.876049;-61.358696;99.319992;163.722122;7.275202;73.139153;-9.276825;-84.280151;154.880646;160.514023;146.307648;12.560116;-54.498367;32.345798;28.950207;2.473987;160.120361;18.566025;-109.732544;0.564349;0.505104;0.043165;160.120361;18.566025;-109.732544;-100.344955;133.705933;160.226883;6.693681;31.832016;8.813767;0.116787;0.555384;0.153777;
